"Отметка времени","Какая диагональ экрана у вашего смартфона?","Какой тип матрицы у экрана вашего смартфона?","Есть ли у вашего смартфона устойчивое к царапинам стекло? ","Поддерживает ли ваш смартфон панорамную съёмку?","Сколько мегапикселей у камеры вашего смартфона?","Какая версия операционной системы у вашего смартфона (версия android или ios)?","Какой процессор стоит в вашем смартфоне?","Сколько оперативной памяти в вашем смартфоне?","Сколько памяти у вашего смартфона? ","Какой вес у вашего смартфона?","Какая емкость у аккумулятора вашего смартфона?","Есть ли в вашем смартфоне быстрая зарядка?","Есть ли в вашем смартфоне разъём USB Type-C?","Есть в вашем смартфоне слот для карт памяти?","Есть ли в вашем смартфоне разъём для наушников?","Есть ли NFC у вашего смартфона?","Есть ли сканер отпечатка пальца у вашего смартфона?","Сколько SIM-карт поддерживает ваш смартфон?","Умеет ли ваш смартфон работать в сетях 4G (LTE)?","Напишите модель вашего смартфона"
"2020/08/24 2:34:25 PM GMT+3","5.8","Retina","Да","Да","12","IOS 14","Apple A9","2 Гб","64 Гб","150 грамм","1800 mah","Нет","Нет","Нет","Да","Да","Да","1","Да","Iphone 6S"
"2020/08/24 2:45:42 PM GMT+3","Не знаю, но бывает и больше","Не разбираюсь","Да","Не разбирался","Не уверен, но снимает неплохо","iOS 13","Понятия не имею","Мало","16 Гб","Достаточно тяжелый","Разряжается за несколько часов","Нет","Нет","Нет","Есть","Да","Да","Одну","Умеет","iPhone 6s Plus"
"2020/08/24 3:08:02 PM GMT+3","6","Poled","Да","Да","48","9","Snapdragon 845","6","128","172","3320","Да","Да","Да","Нет","Да","Да","2","Да","Nokia 9"
"2020/08/24 3:34:06 PM GMT+3","Диагональ экрана 5.7 дюйма","Так как это самсунг 2017 года, то простой AMOLED","Раньше у самсунгов оно было более устойчивое, но и данное стекло не сильно царапается","Не помню, так как редко что-то фотографирую","Вроде-бы 16","Андройд 8.0","Не помню","Всего лишь 3 гб","32 гб с возможностью вставить micro sd","Точно не помню, но телефон легкий ","3600 мА","Есть, что очень хорошо","Есть","Имеется","Есть, хотя и не особо нужен","Есть, без него не представляю что бы делал","Есть, снизу на переднем экране","В него можно вставить 2 симкарты","Умеет","Samsung A7 2017"
"2020/08/25 1:57:15 PM GMT+3","Не помню точно. Выше среднего.","IPS","Не знаю точно","Да, поддерживает","Порядка 11 Мп","Без понятия","A12 Bionic, насколько я помню","3 Гб","128 Гб","Нормальный вес","Очень большая по сравнению с обычными телефонами. ","Нет ","Не ","Нет ","Нет, уже давно нет","Да, конечно ","Не ","Одну","Да","Iphone XR"
"2020/08/26 12:54:59 AM GMT+3","не могу знать","не могу знать","да","не могу знать","не могу знать","Android 4","Intel","не могу знать","не могу знать","200 фунтов","2 часа","не могу знать","не могу знать","не могу знать","да","не могу знать","нет","2","нет","Asus zenfone 5"
"2020/08/26 10:49:06 AM GMT+3","6,3","IPS- матрица","Да","Да","48 основная камера ","Android ","8-ядерный процессор Qualcomm Snapdragon 665","4","64","199,8 Г","4000 мАч","Да","Не знаю ","Да","Да","Да","Да","2","Да","Redmi note 8 T "
"2020/08/26 11:48:56 AM GMT+3","Не помню","Ips ","Да","Да","12","13","Core i9900k","64","2t","218 gamm","9600 mh","Da","Heт","Heт","Heт","Дa","Дa","4","Дa","iPhone 12"
"2020/08/26 3:46:59 PM GMT+3","Между 4 и 5 дюймами","AMOLED","Да","Наверное нет","Не знаю","Кажется 7й андроид","Не знаю, кажется 4 ядра","3 Гб","32 или 64 Гб","Меньше 200 грамм","примерно 4500 мач","Да","Нет","Да, совмещенный со слотом для второй симкарты","Да","Да","Да","2","Да","Lenovo P2"
"2020/08/26 10:28:46 PM GMT+3","4 дюйма","-","нет","Да","12","13","не помню","2гб","32гб","-","-","нет","да","нет","да","-","да","1","да","SE"
"2020/08/27 1:39:48 PM GMT+3","6","какой-то хороший","надеюсь, что да","да, я ею пользовалась","знаю, что камеры 3 и разрешение хорошее","понятия не имею","не знаю","не знаю","128гб","не знаю","не знаю, но сутки в рабочем режиме держит","да, супер-вещь","да","нет","да","да, удобно","да","1","да","xiao mi lite 9"
"2020/08/27 1:48:00 PM GMT+3","6.3","Не помню","Есть","Да","Больше 40","Android 8.0 или 9.0 ","Qualcom Snapdragon 625","4","32","Средний","4000","Да","Да","Да","Да","Нет","Да","2","Да","Redmi Note 8"
"2020/08/27 3:01:30 PM GMT+3","Не знаю","Не интересовалась","Да","Да","Не помню","Тоже не помню:)","Не знаю","120 гб","а это разные вещи?)","Не знаю","Без понятия","Нет","Нет","Нет","Да","ЧТо это?)","Нет","1","да","Айфон 11"
"2020/08/27 3:27:18 PM GMT+3","4,7","IPS","Да","Да","12","IOS 13.6","Apple A11","2GB","256Gb","200g","1600mah","Да","Нет","Нет ","Нет","Да","Да","1","Да","iPhone 8"
"2020/08/27 9:27:03 PM GMT+3","5,8 ","Amoled","Да ","Да","10","13,6","Двухъядерный ","2","128","174 грамма ","2716 Мач","Да ","Нет","Нет","Да","Нет","Нет ","1","Да","IPhone 10"
"2020/08/28 2:21:09 PM GMT+3","не помню))","ой даже не знаю что это такое","Есть пленка","Неа","ууу не знаю((","на память не помню 13 кажется ","ничего не знаю об этом","32Гб","32 Гб","легкий)) не помню","Зарадки хватает на целый день","нет","нет","нет","да","Что это?))","Есть тач айди","одну","ага","iPhone 7 Plus"
"2020/08/28 2:55:58 PM GMT+3","5,5 дюймов","Не уверен, но предположительно, LTPS","нет","да","12 мегапикселей","Android 8.0","Hisilicon Kirin 960","4 Гб","64 Гб","800 грамм","3200 mA/h","да","да","да","да","да","да","2 ","да","STF-L09"
"2020/08/28 2:56:02 PM GMT+3","У моего телефона диагональ 6,46 дюймов","У меня матрица OLED","Да, но оно было куплено отдельно","Да, телефон поддерживает панорамную съемку","У моего смартфона 12 Мп на двойной задней камере и 7 Мп на фронтальной камере","Мой телефон работает на ios","У моего телефона процессор Apple A12 Bionic","В моём телефоне 4 Гб оперативки","У моего телефона 256 Гб памяти","Мой телефон весит примерно 200 грамм","Емкость аккумулятора моего телефона составляет примерно 2650 мАч","Да, мой телефон оснащён быстрой зарядкой ","Нет, мой телефон не обладает таким разъёмом","Нет, его в моем телефоне нет","Отдельного разъема в моем телефоне нет, наушники подключаются через разъём для зарядного устройства","Да, есть","Нет, мой телефон оборудован сканером лица","Мой телефон поддерживает лишь 1 симкарту ","Да, умеет","iPhone XS Max"
"2020/08/28 5:17:25 PM GMT+3","Ну, приблизительно равная длине моей ладони, а это около 18 см","Понятия не имею","Нет","Да","У меня три основных камеры, если правильно помню, 16, 32 и 48 мегапикселей, а передняя камера в районе 12","Не знаю, но уверен, что последняя","Вас интересует именно модель или тактовая частота? Ну, в любом случае, я не помню ни того ни другого","6","128 гб","По ощущениям грамм 400","Вроде бы 400 мАч","Да","Да","Да","Да","Да","Да","2","Да","YAL-L21"