ID,token_id,token,num_slot,dim_slot
0,0,5.8,B,O
1,0,Не,O,O
1,1,"знаю,",O,O
1,2,но,O,O
1,3,бывает,O,O
1,4,и,O,O
1,5,больше,O,O
2,0,6,B,O
3,0,Диагональ,O,O
3,1,экрана,O,O
3,2,5.7,B,O
3,3,дюйма,O,B
4,0,Не,O,O
4,1,помню,O,O
4,2,точно.,O,O
4,3,Выше,O,O
4,4,среднего.,O,O
5,0,не,O,O
5,1,могу,O,O
5,2,знать,O,O
6,0,"6,3",B,O
7,0,Не,O,O
7,1,помню,O,O
8,0,Между,O,O
8,1,4,B,O
8,2,и,O,B
8,3,5,B,O
8,4,дюймами,O,B
9,0,4,B,O
9,1,дюйма,O,B
10,0,6,B,O
11,0,6.3,B,O
12,0,Не,O,O
12,1,знаю,O,O
13,0,"4,7",B,O
14,0,"5,8",B,O
15,0,не,O,O
15,1,помню)),O,O
16,0,"5,5",B,O
16,1,дюймов,O,B
17,0,У,O,O
17,1,моего,O,O
17,2,телефона,O,O
17,3,диагональ,O,O
17,4,"6,46",B,O
17,5,дюймов,O,B
18,0,"Ну,",O,O
18,1,приблизительно,O,O
18,2,равная,O,O
18,3,длине,O,O
18,4,моей,O,O
18,5,"ладони,",O,O
18,6,а,O,O
18,7,это,O,O
18,8,около,O,O
18,9,18,B,O
18,10,см,O,B
19,0,"7,5",B,O
20,0,4,B,O
20,1,"дюйма,",O,B
20,2,насколько,O,O
20,3,я,O,O
20,4,помню,O,O
0,0,12,B,O
1,0,Не,O,O
1,1,"уверен,",O,O
1,2,но,O,O
1,3,снимает,O,O
1,4,неплохо,O,O
2,0,48,B,O
3,0,Вроде-бы,O,O
3,1,16,B,O
4,0,Порядка,O,O
4,1,11,B,O
4,2,Мп,O,B
5,0,не,O,O
5,1,могу,O,O
5,2,знать,O,O
6,0,48,B,O
6,1,основная,O,B
6,2,камера,O,O
7,0,12,B,O
8,0,Не,O,O
8,1,знаю,O,O
9,0,12,B,O
10,0,"знаю,",O,O
10,1,что,O,O
10,2,камеры,O,O
10,3,3,B,O
10,4,и,O,B
10,5,разрешение,O,O
10,6,хорошее,O,O
11,0,Больше,O,O
11,1,40,B,O
12,0,Не,O,O
12,1,помню,O,O
13,0,12,B,O
14,0,10,B,O
15,0,ууу,O,O
15,1,не,O,O
15,2,знаю((,O,O
16,0,12,B,O
16,1,мегапикселей,O,B
17,0,У,O,O
17,1,моего,O,O
17,2,смартфона,O,O
17,3,12,B,O
17,4,Мп,O,B
17,5,на,O,O
17,6,двойной,O,O
17,7,задней,O,O
17,8,камере,O,O
17,9,и,O,O
17,10,7,B,O
17,11,Мп,O,B
17,12,на,O,O
17,13,фронтальной,O,O
17,14,камере,O,O
18,0,У,O,O
18,1,меня,O,O
18,2,три,O,O
18,3,основных,O,O
18,4,"камеры,",O,O
18,5,если,O,O
18,6,правильно,O,O
18,7,"помню,",O,O
18,8,"16,",B,O
18,9,32,B,B
18,10,и,O,B
18,11,48,B,O
18,12,"мегапикселей,",O,B
18,13,а,O,O
18,14,передняя,O,O
18,15,камера,O,O
18,16,в,O,O
18,17,районе,O,O
18,18,12,B,O
19,0,16,B,O
20,0,Не,O,O
20,1,"знаю,",O,O
20,2,но,O,O
20,3,меня,O,O
20,4,устраивает,O,O
0,0,IOS,O,O
0,1,14,B,O
1,0,iOS,O,O
1,1,13,B,O
2,0,9,B,O
3,0,Андройд,O,O
3,1,8.0,B,O
4,0,Без,O,O
4,1,понятия,O,O
5,0,Android,O,O
5,1,4,B,O
6,0,Android,O,O
7,0,13,B,O
8,0,Кажется,O,O
8,1,7й,O,O
8,2,андроид,O,O
9,0,13,B,O
10,0,понятия,O,O
10,1,не,O,O
10,2,имею,O,O
11,0,Android,O,O
11,1,8.0,B,O
11,2,или,O,B
11,3,9.0,B,O
12,0,Тоже,O,O
12,1,не,O,O
12,2,помню:),O,O
13,0,IOS,O,O
13,1,13.6,B,O
14,0,"13,6",B,O
15,0,на,O,O
15,1,память,O,O
15,2,не,O,O
15,3,помню,O,O
15,4,13,B,O
15,5,кажется,O,B
16,0,Android,O,O
16,1,8.0,B,O
17,0,Мой,O,O
17,1,телефон,O,O
17,2,работает,O,O
17,3,на,O,O
17,4,ios,O,O
18,0,Не,O,O
18,1,"знаю,",O,O
18,2,но,O,O
18,3,"уверен,",O,O
18,4,что,O,O
18,5,последняя,O,O
19,0,13.4,B,O
20,0,Самая,O,O
20,1,последняя,O,O
0,0,2,B,O
0,1,Гб,O,B
1,0,Мало,O,O
2,0,6,B,O
3,0,Всего,O,O
3,1,лишь,O,O
3,2,3,B,O
3,3,гб,O,B
4,0,3,B,O
4,1,Гб,O,B
5,0,не,O,O
5,1,могу,O,O
5,2,знать,O,O
6,0,4,B,O
7,0,64,B,O
8,0,3,B,O
8,1,Гб,O,B
9,0,2гб,O,O
10,0,не,O,O
10,1,знаю,O,O
11,0,4,B,O
12,0,120,B,O
12,1,гб,O,B
13,0,2GB,O,O
14,0,2,B,O
15,0,32Гб,O,O
16,0,4,B,O
16,1,Гб,O,B
17,0,В,O,O
17,1,моём,O,O
17,2,телефоне,O,O
17,3,4,B,O
17,4,Гб,O,B
17,5,оперативки,O,O
18,0,6,B,O
19,0,4гб,O,O
20,0,8,B,O
20,1,"гб,",O,B
20,2,насколько,O,O
20,3,я,O,O
20,4,помню,O,O
0,0,64,B,O
0,1,Гб,O,B
1,0,16,B,O
1,1,Гб,O,B
2,0,128,B,O
3,0,32,B,O
3,1,гб,O,B
3,2,с,O,O
3,3,возможностью,O,O
3,4,вставить,O,O
3,5,micro,O,O
3,6,sd,O,O
4,0,128,B,O
4,1,Гб,O,B
5,0,не,O,O
5,1,могу,O,O
5,2,знать,O,O
6,0,64,B,O
7,0,2t,O,O
8,0,32,B,O
8,1,или,O,B
8,2,64,B,O
8,3,Гб,O,B
9,0,32гб,O,O
10,0,128гб,O,O
11,0,32,B,O
12,0,а,O,O
12,1,это,O,O
12,2,разные,O,O
12,3,вещи?),O,O
13,0,256Gb,O,O
14,0,128,B,O
15,0,32,B,O
15,1,Гб,O,B
16,0,64,B,O
16,1,Гб,O,B
17,0,У,O,O
17,1,моего,O,O
17,2,телефона,O,O
17,3,256,B,O
17,4,Гб,O,B
17,5,памяти,O,O
18,0,128,B,O
18,1,гб,O,B
19,0,32гб,O,O
20,0,64,B,O
20,1,гб,O,B
0,0,150,B,O
0,1,грамм,O,B
1,0,Достаточно,O,O
1,1,тяжелый,O,O
2,0,172,B,O
3,0,Точно,O,O
3,1,не,O,O
3,2,"помню,",O,O
3,3,но,O,O
3,4,телефон,O,O
3,5,легкий,O,O
4,0,Нормальный,O,O
4,1,вес,O,O
5,0,200,B,O
5,1,фунтов,O,B
6,0,"199,8",B,O
6,1,Г,O,B
7,0,218,B,O
7,1,gamm,O,B
8,0,Меньше,O,O
8,1,200,B,O
8,2,грамм,O,B
9,0,-,O,O
10,0,не,O,O
10,1,знаю,O,O
11,0,Средний,O,O
12,0,Не,O,O
12,1,знаю,O,O
13,0,200g,O,O
14,0,174,B,O
14,1,грамма,O,B
15,0,легкий)),O,O
15,1,не,O,O
15,2,помню,O,O
16,0,800,B,O
16,1,грамм,O,B
17,0,Мой,O,O
17,1,телефон,O,O
17,2,весит,O,O
17,3,примерно,O,O
17,4,200,B,O
17,5,грамм,O,B
18,0,По,O,O
18,1,ощущениям,O,O
18,2,грамм,O,O
18,3,400,B,O
19,0,200г,O,O
20,0,Грамм,O,O
20,1,200,B,O
0,0,1800,B,O
0,1,mah,O,B
1,0,Разряжается,O,O
1,1,за,O,O
1,2,несколько,O,O
1,3,часов,O,O
2,0,3320,B,O
3,0,3600,B,O
3,1,мА,O,B
4,0,Очень,O,O
4,1,большая,O,O
4,2,по,O,O
4,3,сравнению,O,O
4,4,с,O,O
4,5,обычными,O,O
4,6,телефонами.,O,O
5,0,2,B,O
5,1,часа,O,B
6,0,4000,B,O
6,1,мАч,O,B
7,0,9600,B,O
7,1,mh,O,B
8,0,примерно,O,O
8,1,4500,B,O
8,2,мач,O,B
9,0,-,O,O
10,0,не,O,O
10,1,"знаю,",O,O
10,2,но,O,O
10,3,сутки,O,O
10,4,в,O,O
10,5,рабочем,O,O
10,6,режиме,O,O
10,7,держит,O,O
11,0,4000,B,O
12,0,Без,O,O
12,1,понятия,O,O
13,0,1600mah,O,O
14,0,2716,B,O
14,1,Мач,O,B
15,0,Зарадки,O,O
15,1,хватает,O,O
15,2,на,O,O
15,3,целый,O,O
15,4,день,O,O
16,0,3200,B,O
16,1,mA/h,O,B
17,0,Емкость,O,O
17,1,аккумулятора,O,O
17,2,моего,O,O
17,3,телефона,O,O
17,4,составляет,O,O
17,5,примерно,O,O
17,6,2650,B,O
17,7,мАч,O,B
18,0,Вроде,O,O
18,1,бы,O,O
18,2,400,B,O
18,3,мАч,O,B
19,0,3600мАч,O,O
20,0,Хватает,O,O
20,1,на,O,O
20,2,день,O,O
20,3,с,O,O
20,4,трудом,O,O
0,0,1,B,O
1,0,Одну,O,O
2,0,2,B,O
3,0,В,O,O
3,1,него,O,O
3,2,можно,O,O
3,3,вставить,O,O
3,4,2,B,O
3,5,симкарты,O,B
4,0,Одну,O,O
5,0,2,B,O
6,0,2,B,O
7,0,4,B,O
8,0,2,B,O
9,0,1,B,O
10,0,1,B,O
11,0,2,B,O
12,0,1,B,O
13,0,1,B,O
14,0,1,B,O
15,0,одну,O,O
16,0,2,B,O
17,0,Мой,O,O
17,1,телефон,O,O
17,2,поддерживает,O,O
17,3,лишь,O,O
17,4,1,B,O
17,5,симкарту,O,B
18,0,2,B,O
19,0,1,B,O
20,0,Две,O,O
